StationName,StationNameStd
Blank; Equipment (ID:47718),Filter Blank
Blank; Field (ID:47719),Field Blank
Cache Creek Settling Basin Low Flow Channel (ID:47677),CCSB- Low Flow Channel
Cache Creek Settling Basin Overflow Weir- North (ID:47675),CCSB Overflow Weir- North
Cache Creek Settling Basin Overflow Weir- South (ID:47676),CCSB Overflow Weir- South
Cache Slough nr. Ryer Island gaging station (ID:47520),Cache Slough near Ryer Island
Flooded Pasture 1 in the Yolo Bypass (ID:47794),YB Flooded Pasture 1
Flooded Pasture 2 in the Yolo Bypass (ID:47793),YB Flooded Pasture 2
Fremont Weir- East Side (ID:47774),Fremont Weir- East Side
Fremont Weir- Middle (ID:47773),Fremont Weir- Middle
Fremont Weir- West Side (ID:47772),Fremont Weir- West Side
Liberty Cut downstream of the Stairsteps (ID:47839),Liberty Cut below Stairsteps
Miner Slough near Sacramento River (ID:47767),Miner Slough near Sac River
Prospect Slough @ S. Tip of Little Holland Tract (ID:143),Prospect Slough
Putah Cr@Mace (ID:779),Putah Creek at Mace Blvd
Ridge Cut Slough at Knights Landing (ID:47535),Knights Landing Ridge Cut
Sacramento River above the Sacramento Weir (ID:47784),Sac River above the Sacramento Weir
Shag Slough Below the Stairsteps (ID:47768),Shag Slough below Stairsteps
Toe Drain at County Road 22 (ID:47533),Toe Drain at County Road 22
Toe Drain at Interstate 80 (ID:47532),Toe Drain at Interstate 80
Toe Drain at Rotary Screw Trap (ID:47529),Toe Drain at 1/2 Lisbon
Yolo Bypass Toe Drain Below Lisbon Weir (ID:145),Toe Drain at Lisbon Weir
